Professor,Average Rating,Number of Courses
"Whitehill, Jacob",4.625,8
"Eltabakh, Mohamed",4.649609375,9
"Heineman, George",4.74375,8
"Venkatasubramanian, Krishna Kumar",3.65,3
"Shue, Craig",4.434375,6
"Walls, Robert",4.9095703125,10
"Solovey, Erin",3.626220703125,12
"Neamtu, Rodica",4.0103515625,10
"Hofri, Micha",2.975,3
"Nelson, Blake",3.8343749999999996,6
"Sarkozy, Gabor",4.4273437499999995,10
"Li, Yanhua",4.742381191253662,23
"Arnold, Andrea",4.270703125,10
"Pollice, Gary",4.50625,5
"Heffernan, Neil",4.17265625,11
"Pinciroli, Carlo",4.725096703693271,30
"DeCarli, Lorenzo",4.43125,5
"Ngan, Chun-Kit",4.564501953125,12
"Breecher, Jerry",4.449999999999999,2
"Mahadev, Aparna",3.85,3
"Bhuiyan, Moinuddin",3.75,2
"Smith, Gillian",4.277734375,12
"Lee, Kyumin",4.3294921875,12
"Agu, Emmanuel",4.08125,5
"Rundensteiner, Elke",4.4125,4
"Paffenroth, Randy",4.95430908203125,14
"Emdad, Fatemeh",4.18824462890625,14
"Zhang, Tan",4.05,3
"Bogdanov, Gene",4.25625,6
"O'Rourke, James",3.25625,5
"Mughal, Maqsood",4.47275390625,11
"Huang, Xinming",4.1859375,7
"Jarvis, Susan",3.8,3
"Doroz, Yarkin",4.383935546875,13
"Wyglinski, Alexander",4.12890625,8
"Fu, Jie",4.644140625,9
"Zekavat, Seyed",3.661328125,9
"Michalson, William",2.875,5
"Clark, Andrew",4.448535156249999,11
"Mahmoud, Yousef",3.565625,7
"Duckworth, R. James",4.525,3
"Sunar, Berk",4.2265625,7
"McNeill, John",4.6,2
"Hakim, Hossein",3.4,1
"Gannon, Thomas",4.253125000000001,6
"Brown, Donald",4.8,3
"Prince, Gregary",3.80625,5
"Kantarelis, Demetri",3.95,3
"Hoy, Francis",4.220703125,9
"Pavlov, Oleg",4.46875,7
"Harmon, Joshua",4.692578125,246
"McIntyre, Katharine",4.600000000052386,206
"Eddy, James",4.999999761581421,23
"Jiang, Wenjing",4.1,1
"Sauls, Laura",4.6,1
"Harris, Dylan",4.8,1
"Planchard, David",4.240625,6
"Scarpino, Christopher",3.614453125,9
"Badmos, Adebayo",3.51875,5
"Cote, Danielle",4.49375,6
"Gaudette, Glenn",4.503125,6
"Rao, Pratap",4.40078125,11
"Narra, Sneha",4.165624985344767,38
"Dimentberg, Mikhail",2.5931640625,10
"Simeoni, Albert",3.75,3
"Rangwala, Ali",3.575,7
"Dembsey, Nicholas",3.6125,7
"Ault, Holly",4.3,5
"Stults, Erica",3.825,3
"Worthington, Shari",4.240917968750001,11
"Schaufeld, Jerome",4.453125,6
"Chase, Micah",3.9,2
"Dodson, Leslie",3.0,1
"Cote, Matthew",3.7,1
"Higgins, Huong",4.112500000000001,4
"Pu, Hansong",4.1,2
"Hashempour, Javad",4.2,1
"Notarianni, Kathy",3.091796875,10
"Puchovsky, Milosh",4.2354492187499995,12
"Apelian, Diran",3.8985837936401366,29
"Laungani, Amanda",3.4,2
"Hanlan, Erika",4.1,2
"Morton, Heidi",3.9000000000000004,2
"Brisson, Ulrike",4.2620483398437505,15
"Solbakken, Elisabeth",4.475,3
"Delaney, Kelly",4.6,1
"Stapleton, Patricia",4.5,3
"Heaton, George",4.418749999999999,5
"Freije, Richard",4.15,2
"Poirier, Matthew",4.35,2
"Baller, William",4.899999999736126,137
"Bullock, Steven",3.6999999999650757,199
"Addison, W.",3.8875,109
"Everett, Parker",4.15,57
"Rudolph, Jennifer",4.799999999767169,248
"Nakajima, Chieko",3.975,4
"Eddy, Bethel",4.866666666666666,310
"Falco, Richard",4.666666666666666,166
"Minichiello, Stephen",5.0,136
"Higgins, Lorraine",3.5,128
"Odria, Carlos",4.24375,57
"Welu, James",5.0,105
"Bianchi, Frederick",4.000004005432129,94
"Burton, Scott",4.5000152587890625,63
"Weeks, Douglas",4.600003151098887,67
"Bulled, Nicola",4.583333333333333,83
"Butler, Melissa",4.216666666666667,232
"Laplante, Justin",4.433333333333334,83
"Quinn, Paula",3.50000000007761,113
"Zeugner, John",3.499999999906868,158
"Chiarelli, James",3.8999999997206034,203
"Doiron, Joseph",4.933333333333334,234
"Peet, R. Creighton",3.799999999634123,154
"Sphar, Jefferson",4.3,234
"Tuler, Seth",4.299999999999978,86
"Williams, Nicholas",4.333333333333334,82
"Roberts, Laura",4.400000000066523,207
"Staley, John",4.7,1
"Flinn, Rory",4.225,3
"O'Donnell, Dean",3.6603515625000003,11
"Kesselman, Jeffrey",4.074999999999999,3
"Sheldon, Charles",4.2984375,11
"Claypool, Mark",4.540625,7
"Hansen, Peter",3.9999999999650755,36
"Doytchinova, Tatiana",4.353839111328125,15
"Cassani, Simone",4.6,3
"Malone, J.",3.625,3
"Nasralah, Hussein",4.52109375,9
"Gajamannage, Kelum",4.175000000000001,3
"Weekes, Suzanne",4.1,4
"Zhou, Xiaodan",4.223437499999999,7
"Yakovlev, Vadim",3.8054687499999997,8
"Carichino, Lucia",4.225,3
"Ptukhin, Yevgeniy",4.1,3
"Volkov, Darko",4.012890625,11
"Mayer, Carolyn",3.8187499999999996,5
"Zhang, Zhongqiang",4.0703125,7
"Mosco, Umberto",3.369921875,9
"Sarkis-Martins, Marcus",3.12109375,9
"Christopher, Peter",4.0,2
"Medina, F. Patricia",4.15,3
"Ghorbani Faal, Siamak",4.040625,6
"Servatius, Brigitte",3.82109375,9
"Keane, Patrick",4.143750000000001,9
"Lurie, Konstantin",2.440625,7
"Capogna, Luca",4.55,3
"Martin, William",4.3625,5
"Petruccelli, Joseph",2.9,1
"Zou, Jian",4.23203125,9
"Peiris, Thelge",4.2474822998046875,18
"Nandram, Balgobin",4.1,6
"Roman, Luis",3.2,1
"Brown, Christopher",4.468750102917353,66
"Cobb, Eben",3.0,2
"Yagoobi, Jamal",4.202978515625,12
"Braun, Isa",4.025,3
